:START_ID(PERSON_ID)|:END_ID(PERSON_ID)|creationDate:long|:TYPE
933|2199023256077|1271939457947|KNOWS
933|10995116278291|1289805829104|KNOWS
933|24189255811254|1323916483085|KNOWS
1129|2199023256437|1271177062450|KNOWS
1129|10995116278468|1294007968664|KNOWS
1129|19791209301592|1316295617976|KNOWS
1129|26388279067534|1327000914433|KNOWS
1129|28587302323722|1334463868397|KNOWS
1129|30786325578932|1338314410845|KNOWS
1129|32985348834375|1344031755016|KNOWS
2199023256684|2199023256816|1272904815103|KNOWS
2199023256684|17592186044425|1308827856047|KNOWS
4398046512167|4398046512201|1277961453522|KNOWS
4398046512167|6597069768211|1282177426014|KNOWS
4398046512167|8796093022467|1287101175754|KNOWS
4398046512167|19791209300326|1312638254313|KNOWS
4398046512167|19791209300608|1312956363387|KNOWS
4398046512167|19791209300787|1316759150478|KNOWS
4398046512167|19791209301454|1311882067182|KNOWS
4398046512167|24189255812580|1322247571990|KNOWS
4398046512167|26388279066664|1328381804907|KNOWS
4398046512167|26388279067534|1326527479334|KNOWS
4398046512167|32985348833653|1345137168718|KNOWS
6597069767117|15393162789274|1302099494604|KNOWS
6597069767117|15393162790400|1301978400810|KNOWS
6597069767117|17592186044425|1308173741492|KNOWS
6597069767117|17592186045693|1306872876622|KNOWS
6597069767117|26388279067534|1326828896821|KNOWS
6597069767117|28587302322537|1334478333233|KNOWS
10995116278700|19791209300852|1312620632954|KNOWS
10995116278700|32985348834655|1346549921694|KNOWS
17592186045684|19791209301252|1311074676482|KNOWS
17592186045684|21990232556528|1321177321674|KNOWS
17592186045684|24189255811566|1323494083299|KNOWS
21990232556027|26388279067551|1328717895378|KNOWS
21990232556027|26388279067669|1329573570368|KNOWS
21990232556585|24189255812446|1324745559739|KNOWS
21990232556585|24189255812669|1324966431401|KNOWS
21990232556585|26388279067066|1328954131849|KNOWS
21990232556585|26388279067183|1326850457222|KNOWS
21990232556585|26388279067635|1330602491880|KNOWS
21990232556585|28587302323592|1333779387056|KNOWS
21990232556585|30786325578585|1342958773009|KNOWS
21990232556585|30786325579109|1341968118383|KNOWS
21990232556585|32985348833438|1344529531529|KNOWS
21990232556585|32985348833670|1346325149011|KNOWS
21990232556585|32985348833673|1342990455337|KNOWS
21990232556585|32985348833931|1344986791145|KNOWS
24189255812290|24189255812426|1325890510832|KNOWS
24189255812290|24189255812580|1323178742985|KNOWS
24189255812290|24189255812733|1326902183016|KNOWS
24189255812290|32985348834375|1344194403004|KNOWS
26388279066636|32985348834375|1343546008855|KNOWS
30786325578904|30786325579109|1340342561124|KNOWS
2199023256181|6597069767242|1281346087708|KNOWS
2199023256181|10995116278234|1291637025050|KNOWS
2199023256181|10995116278353|1292834188909|KNOWS
2199023256181|13194139533535|1296873654007|KNOWS
2199023256181|13194139533653|1296873694456|KNOWS
2199023256181|15393162789604|1303923678873|KNOWS
2199023256181|17592186044551|1308299829090|KNOWS
2199023256181|17592186045074|1308381547250|KNOWS
2199023256181|17592186045865|1307330757006|KNOWS
2199023256181|19791209300771|1313686879520|KNOWS
2199023256181|21990232555611|1321132397102|KNOWS
2199023256181|21990232556528|1318940580755|KNOWS
2199023256181|21990232556650|1321149478460|KNOWS
2199023256181|30786325578932|1339966846191|KNOWS
2199023256181|30786325579247|1339221957731|KNOWS
2199023256181|32985348833378|1346692358052|KNOWS
2199023256181|32985348833438|1343341300409|KNOWS
4398046511870|10995116278184|1293974574706|KNOWS
4398046511870|13194139533618|1297252091941|KNOWS
4398046511870|13194139533834|1300712573687|KNOWS
4398046511870|17592186045813|1310051624680|KNOWS
4398046511870|26388279067771|1330506733506|KNOWS
6597069766983|6597069768211|1282495333528|KNOWS
6597069766983|8796093023017|1286764858230|KNOWS
6597069766983|8796093023851|1288779648649|KNOWS
6597069766983|15393162789093|1305041329588|KNOWS
6597069766983|21990232555524|1318512730500|KNOWS
6597069766983|30786325578056|1341044904505|KNOWS
6597069766983|32985348833548|1345928341679|KNOWS
6597069766983|32985348833995|1345925147704|KNOWS
8796093023060|8796093023133|1290096986213|KNOWS
8796093023060|8796093023897|1289554258845|KNOWS
8796093023060|13194139534578|1296641507613|KNOWS
8796093023060|13194139534853|1301825908591|KNOWS
8796093023060|13194139534982|1298780627203|KNOWS
8796093023060|15393162789787|1304341384729|KNOWS
8796093023060|17592186045168|1308375618722|KNOWS
8796093023060|17592186045408|1307860710996|KNOWS
8796093023060|17592186045551|1308831047021|KNOWS
8796093023060|19791209301454|1313079557000|KNOWS
8796093023060|19791209301471|1315150139263|KNOWS
8796093023060|19791209301519|1311474072804|KNOWS
8796093023060|19791209301554|1313023536795|KNOWS
8796093023060|21990232555850|1316983045759|KNOWS
8796093023060|21990232556497|1317672351057|KNOWS
8796093023060|24189255811116|1325940023975|KNOWS
8796093023060|24189255812295|1324871201987|KNOWS
8796093023060|26388279067047|1329196635766|KNOWS
8796093023060|26388279068113|1331095571145|KNOWS
8796093023060|28587302322548|1337578498127|KNOWS
8796093023060|28587302323193|1336563943223|KNOWS
8796093023060|28587302323441|1332254033870|KNOWS
8796093023060|28587302323855|1335983925231|KNOWS
8796093023060|30786325578056|1341111277047|KNOWS
8796093023060|30786325578932|1338945005366|KNOWS
8796093023060|32985348833548|1344287398567|KNOWS
8796093023060|32985348833673|1341991723731|KNOWS
13194139534485|17592186044862|1308828572783|KNOWS
13194139534485|21990232556771|1321069941138|KNOWS
13194139534485|26388279067426|1331636485468|KNOWS
13194139534485|26388279067669|1329094394137|KNOWS
13194139534485|30786325578932|1340100155937|KNOWS
13194139534485|30786325579091|1338890511090|KNOWS
13194139534485|32985348834375|1344929025368|KNOWS
13194139534485|32985348834682|1343704793891|KNOWS
19791209300372|24189255811566|1323294617173|KNOWS
19791209300372|24189255811663|1323250546668|KNOWS
19791209300372|26388279067534|1326708772788|KNOWS
26388279067350|26388279067708|1331016070231|KNOWS
26388279067350|26388279067734|1330525193316|KNOWS
26388279067350|26388279067952|1330911893435|KNOWS
26388279067350|26388279068081|1331882314890|KNOWS
26388279068275|26388279068296|1331896649737|KNOWS
26388279068275|28587302322631|1332542999705|KNOWS
26388279068275|28587302322854|1336279532837|KNOWS
26388279068275|28587302323655|1333972156302|KNOWS
26388279068275|30786325577960|1344139779939|KNOWS
26388279068275|30786325578057|1339725496243|KNOWS
26388279068275|30786325578600|1340070593469|KNOWS
26388279068275|30786325578755|1341271152335|KNOWS
26388279068275|30786325578904|1339642287203|KNOWS
26388279068275|30786325578935|1343332728740|KNOWS
26388279068275|32985348833979|1347343634305|KNOWS
26388279068275|32985348834375|1343140281794|KNOWS
26388279068275|32985348834585|1344515359455|KNOWS
28587302322873|30786325578585|1340475935868|KNOWS
28587302322873|30786325579109|1340664144350|KNOWS
28587302322873|32985348834375|1343838207163|KNOWS
8796093023143|8796093023550|1288634055517|KNOWS
8796093023143|8796093023851|1288990763446|KNOWS
8796093023143|13194139533817|1297909350418|KNOWS
8796093023143|13194139533859|1296752148171|KNOWS
8796093023143|13194139534076|1297490979466|KNOWS
8796093023143|15393162788906|1303281031590|KNOWS
8796093023143|15393162789219|1301919242742|KNOWS
8796093023143|15393162790223|1303688190785|KNOWS
8796093023143|17592186044862|1310097810289|KNOWS
8796093023143|17592186045078|1306542854426|KNOWS
8796093023143|17592186045551|1307096552371|KNOWS
8796093023143|17592186045981|1310326364972|KNOWS
8796093023143|19791209300631|1313302943914|KNOWS
8796093023143|21990232556180|1320703117917|KNOWS
