:START_ID(FORUM_ID)|:END_ID(PERSON_ID)|:TYPE
0|933|HAS_MODERATOR
893353197569|933|HAS_MODERATOR
481036337154|933|HAS_MODERATOR
755914244099|933|HAS_MODERATOR
1030792151044|933|HAS_MODERATOR
893353197573|933|HAS_MODERATOR
618475290630|933|HAS_MODERATOR
1030792151047|933|HAS_MODERATOR
1099511627784|933|HAS_MODERATOR
618475290633|933|HAS_MODERATOR
481036337162|933|HAS_MODERATOR
206158430219|933|HAS_MODERATOR
343597383692|933|HAS_MODERATOR
343597383693|933|HAS_MODERATOR
137438953486|933|HAS_MODERATOR
206158430223|933|HAS_MODERATOR
481036337168|933|HAS_MODERATOR
412316860433|933|HAS_MODERATOR
687194767378|933|HAS_MODERATOR
618475290643|933|HAS_MODERATOR
687194767380|933|HAS_MODERATOR
206158430229|933|HAS_MODERATOR
618475290646|933|HAS_MODERATOR
206158430231|933|HAS_MODERATOR
824633720856|933|HAS_MODERATOR
412316860441|933|HAS_MODERATOR
206158430234|933|HAS_MODERATOR
68719476763|933|HAS_MODERATOR
893353197596|933|HAS_MODERATOR
755914244125|933|HAS_MODERATOR
824633720862|933|HAS_MODERATOR
1030792151071|933|HAS_MODERATOR
343597383712|933|HAS_MODERATOR
824633720865|933|HAS_MODERATOR
893353197602|933|HAS_MODERATOR
962072674339|933|HAS_MODERATOR
36|1129|HAS_MODERATOR
68719476773|2199023256684|HAS_MODERATOR
137438953510|4398046512167|HAS_MODERATOR
206158430247|6597069767117|HAS_MODERATOR
274877906984|6597069767117|HAS_MODERATOR
481036337193|6597069767117|HAS_MODERATOR
1030792151082|6597069767117|HAS_MODERATOR
412316860459|6597069767117|HAS_MODERATOR
962072674349|6597069767117|HAS_MODERATOR
755914244142|6597069767117|HAS_MODERATOR
274877906991|6597069767117|HAS_MODERATOR
618475290672|6597069767117|HAS_MODERATOR
274877906994|6597069767117|HAS_MODERATOR
755914244147|6597069767117|HAS_MODERATOR
824633720884|6597069767117|HAS_MODERATOR
962072674357|6597069767117|HAS_MODERATOR
962072674358|6597069767117|HAS_MODERATOR
1030792151095|6597069767117|HAS_MODERATOR
549755813944|6597069767117|HAS_MODERATOR
274877907001|6597069767117|HAS_MODERATOR
343597383738|6597069767117|HAS_MODERATOR
618475290683|6597069767117|HAS_MODERATOR
274877907004|6597069767117|HAS_MODERATOR
755914244157|6597069767117|HAS_MODERATOR
343597383742|6597069767117|HAS_MODERATOR
893353197631|6597069767117|HAS_MODERATOR
206158430272|6597069767117|HAS_MODERATOR
274877907009|6597069767117|HAS_MODERATOR
893353197634|6597069767117|HAS_MODERATOR
1030792151107|6597069767117|HAS_MODERATOR
274877907012|6597069767117|HAS_MODERATOR
343597383749|10995116278700|HAS_MODERATOR
962072674374|10995116278700|HAS_MODERATOR
755914244167|10995116278700|HAS_MODERATOR
1030792151112|10995116278700|HAS_MODERATOR
1030792151113|10995116278700|HAS_MODERATOR
412316860490|10995116278700|HAS_MODERATOR
962072674379|10995116278700|HAS_MODERATOR
618475290700|10995116278700|HAS_MODERATOR
481036337229|10995116278700|HAS_MODERATOR
962072674382|10995116278700|HAS_MODERATOR
1030792151119|10995116278700|HAS_MODERATOR
893353197648|10995116278700|HAS_MODERATOR
893353197649|10995116278700|HAS_MODERATOR
687194767442|10995116278700|HAS_MODERATOR
962072674387|10995116278700|HAS_MODERATOR
755914244180|10995116278700|HAS_MODERATOR
962072674389|10995116278700|HAS_MODERATOR
687194767447|10995116278700|HAS_MODERATOR
412316860504|10995116278700|HAS_MODERATOR
824633720921|10995116278700|HAS_MODERATOR
962072674394|10995116278700|HAS_MODERATOR
481036337243|10995116278700|HAS_MODERATOR
481036337244|10995116278700|HAS_MODERATOR
343597383773|10995116278700|HAS_MODERATOR
755914244190|10995116278700|HAS_MODERATOR
549755813983|10995116278700|HAS_MODERATOR
549755813984|17592186045684|HAS_MODERATOR
893353197665|17592186045684|HAS_MODERATOR
618475290722|17592186045684|HAS_MODERATOR
618475290723|17592186045684|HAS_MODERATOR
824633720932|17592186045684|HAS_MODERATOR
962072674405|17592186045684|HAS_MODERATOR
962072674406|17592186045684|HAS_MODERATOR
755914244199|17592186045684|HAS_MODERATOR
687194767464|17592186045684|HAS_MODERATOR
824633720938|17592186045684|HAS_MODERATOR
755914244203|17592186045684|HAS_MODERATOR
962072674412|17592186045684|HAS_MODERATOR
618475290733|17592186045684|HAS_MODERATOR
962072674415|17592186045684|HAS_MODERATOR
755914244208|17592186045684|HAS_MODERATOR
549755814001|17592186045684|HAS_MODERATOR
687194767474|17592186045684|HAS_MODERATOR
893353197683|17592186045684|HAS_MODERATOR
687194767476|21990232556027|HAS_MODERATOR
824633720949|21990232556027|HAS_MODERATOR
893353197686|21990232556027|HAS_MODERATOR
893353197688|21990232556027|HAS_MODERATOR
1030792151161|21990232556027|HAS_MODERATOR
824633720954|21990232556027|HAS_MODERATOR
962072674427|21990232556027|HAS_MODERATOR
755914244220|21990232556027|HAS_MODERATOR
824633720957|21990232556027|HAS_MODERATOR
1030792151168|21990232556027|HAS_MODERATOR
893353197697|21990232556027|HAS_MODERATOR
824633720962|21990232556027|HAS_MODERATOR
687194767491|21990232556585|HAS_MODERATOR
755914244228|24189255812290|HAS_MODERATOR
755914244229|24189255812290|HAS_MODERATOR
962072674439|24189255812290|HAS_MODERATOR
824633720968|24189255812290|HAS_MODERATOR
824633720969|24189255812290|HAS_MODERATOR
962072674442|24189255812290|HAS_MODERATOR
824633720975|24189255812290|HAS_MODERATOR
1030792151184|24189255812290|HAS_MODERATOR
962072674449|24189255812290|HAS_MODERATOR
824633720978|26388279066636|HAS_MODERATOR
893353197715|28587302322727|HAS_MODERATOR
962072674452|30786325578904|HAS_MODERATOR
68719476887|2199023256181|HAS_MODERATOR
137438953624|4398046511870|HAS_MODERATOR
206158430361|6597069766983|HAS_MODERATOR
274877907098|8796093023060|HAS_MODERATOR
412316860571|13194139534485|HAS_MODERATOR
687194767516|13194139534485|HAS_MODERATOR
755914244253|13194139534485|HAS_MODERATOR
412316860574|13194139534485|HAS_MODERATOR
962072674463|13194139534485|HAS_MODERATOR
481036337312|13194139534485|HAS_MODERATOR
755914244257|13194139534485|HAS_MODERATOR
481036337314|13194139534485|HAS_MODERATOR
687194767523|13194139534485|HAS_MODERATOR
1099511627940|13194139534485|HAS_MODERATOR
962072674470|13194139534485|HAS_MODERATOR
549755814056|13194139534485|HAS_MODERATOR
824633721001|13194139534485|HAS_MODERATOR
687194767530|13194139534485|HAS_MODERATOR
687194767531|13194139534485|HAS_MODERATOR
549755814061|13194139534485|HAS_MODERATOR
618475290799|13194139534485|HAS_MODERATOR
893353197744|13194139534485|HAS_MODERATOR
755914244273|13194139534485|HAS_MODERATOR
618475290802|13194139534485|HAS_MODERATOR
618475290803|19791209300372|HAS_MODERATOR
824633721012|26388279067350|HAS_MODERATOR
1030792151221|26388279067350|HAS_MODERATOR
893353197751|26388279067350|HAS_MODERATOR
893353197752|26388279067350|HAS_MODERATOR
962072674489|26388279067350|HAS_MODERATOR
962072674490|26388279067350|HAS_MODERATOR
893353197755|26388279067350|HAS_MODERATOR
962072674492|26388279067350|HAS_MODERATOR
893353197757|26388279067350|HAS_MODERATOR
1030792151230|26388279067350|HAS_MODERATOR
824633721023|26388279068275|HAS_MODERATOR
893353197760|28587302322873|HAS_MODERATOR
962072674497|30786325578788|HAS_MODERATOR
962072674499|30786325578788|HAS_MODERATOR
1030792151236|30786325578788|HAS_MODERATOR
1030792151241|32985348834675|HAS_MODERATOR
1099511627980|32985348834675|HAS_MODERATOR
274877907150|8796093023143|HAS_MODERATOR
274877907151|8796093023461|HAS_MODERATOR
343597383888|8796093023461|HAS_MODERATOR
481036337361|8796093023461|HAS_MODERATOR
824633721042|8796093023461|HAS_MODERATOR
343597383891|8796093023461|HAS_MODERATOR
687194767572|8796093023461|HAS_MODERATOR
549755814103|8796093023461|HAS_MODERATOR
893353197784|8796093023461|HAS_MODERATOR
1099511627994|8796093023461|HAS_MODERATOR
687194767579|8796093023461|HAS_MODERATOR
412316860636|8796093023461|HAS_MODERATOR
824633721053|8796093023461|HAS_MODERATOR
343597383903|8796093023461|HAS_MODERATOR
618475290848|8796093023461|HAS_MODERATOR
