:START_ID(FORUM_ID)|:END_ID(TAG_ID)|:TYPE
0|59|HAS_TAG
0|291|HAS_TAG
0|565|HAS_TAG
0|569|HAS_TAG
0|779|HAS_TAG
0|780|HAS_TAG
0|1178|HAS_TAG
0|1203|HAS_TAG
0|1444|HAS_TAG
0|1614|HAS_TAG
0|1764|HAS_TAG
0|1767|HAS_TAG
0|1936|HAS_TAG
0|1985|HAS_TAG
0|1989|HAS_TAG
0|2011|HAS_TAG
0|2016|HAS_TAG
0|2035|HAS_TAG
0|2036|HAS_TAG
0|2054|HAS_TAG
0|2057|HAS_TAG
0|2075|HAS_TAG
0|2097|HAS_TAG
0|2104|HAS_TAG
0|2120|HAS_TAG
0|2777|HAS_TAG
0|2778|HAS_TAG
0|2780|HAS_TAG
0|2783|HAS_TAG
0|2792|HAS_TAG
0|2801|HAS_TAG
0|2803|HAS_TAG
0|2811|HAS_TAG
0|2812|HAS_TAG
0|2828|HAS_TAG
0|2831|HAS_TAG
0|2847|HAS_TAG
0|2855|HAS_TAG
0|2932|HAS_TAG
0|2933|HAS_TAG
0|2941|HAS_TAG
0|2973|HAS_TAG
0|2975|HAS_TAG
0|3045|HAS_TAG
0|3047|HAS_TAG
0|3081|HAS_TAG
0|5142|HAS_TAG
0|5159|HAS_TAG
0|5163|HAS_TAG
0|5170|HAS_TAG
0|5467|HAS_TAG
0|5682|HAS_TAG
0|5875|HAS_TAG
0|6040|HAS_TAG
0|6144|HAS_TAG
0|6368|HAS_TAG
0|6532|HAS_TAG
0|6934|HAS_TAG
0|6962|HAS_TAG
0|7032|HAS_TAG
0|7335|HAS_TAG
0|7509|HAS_TAG
0|7545|HAS_TAG
0|7876|HAS_TAG
0|8942|HAS_TAG
0|9144|HAS_TAG
0|9146|HAS_TAG
0|9163|HAS_TAG
0|13818|HAS_TAG
0|13828|HAS_TAG
893353197569|2780|HAS_TAG
481036337154|2016|HAS_TAG
755914244099|6144|HAS_TAG
1030792151044|291|HAS_TAG
893353197573|7545|HAS_TAG
618475290630|2811|HAS_TAG
1030792151047|2104|HAS_TAG
1099511627784|2831|HAS_TAG
618475290633|2932|HAS_TAG
481036337162|6532|HAS_TAG
206158430219|5163|HAS_TAG
343597383692|569|HAS_TAG
343597383693|2097|HAS_TAG
137438953486|2075|HAS_TAG
206158430223|2054|HAS_TAG
481036337168|2097|HAS_TAG
412316860433|1764|HAS_TAG
687194767378|2016|HAS_TAG
618475290643|7876|HAS_TAG
687194767380|2801|HAS_TAG
206158430229|779|HAS_TAG
618475290646|2828|HAS_TAG
206158430231|2104|HAS_TAG
824633720856|6532|HAS_TAG
412316860441|59|HAS_TAG
206158430234|3047|HAS_TAG
68719476763|5163|HAS_TAG
893353197596|2828|HAS_TAG
755914244125|9163|HAS_TAG
824633720862|2097|HAS_TAG
1030792151071|13818|HAS_TAG
343597383712|13818|HAS_TAG
824633720865|1989|HAS_TAG
893353197602|2054|HAS_TAG
962072674339|5142|HAS_TAG
36|61|HAS_TAG
36|62|HAS_TAG
36|141|HAS_TAG
36|205|HAS_TAG
36|206|HAS_TAG
36|417|HAS_TAG
36|565|HAS_TAG
36|580|HAS_TAG
36|780|HAS_TAG
36|783|HAS_TAG
36|790|HAS_TAG
36|801|HAS_TAG
36|1154|HAS_TAG
36|1172|HAS_TAG
36|1188|HAS_TAG
36|1375|HAS_TAG
36|1504|HAS_TAG
36|1535|HAS_TAG
36|1749|HAS_TAG
36|1985|HAS_TAG
36|1990|HAS_TAG
36|1995|HAS_TAG
36|2011|HAS_TAG
36|2032|HAS_TAG
36|2095|HAS_TAG
36|2120|HAS_TAG
36|2787|HAS_TAG
36|2802|HAS_TAG
36|2811|HAS_TAG
36|2820|HAS_TAG
36|2821|HAS_TAG
36|2835|HAS_TAG
36|2844|HAS_TAG
36|2847|HAS_TAG
36|2850|HAS_TAG
36|2851|HAS_TAG
36|2854|HAS_TAG
36|2863|HAS_TAG
36|2871|HAS_TAG
36|2885|HAS_TAG
36|2888|HAS_TAG
36|2908|HAS_TAG
36|2912|HAS_TAG
36|2928|HAS_TAG
36|2958|HAS_TAG
