:START_ID(PERSON_ID)|:END_ID(POST_ID)|creationDate:long|:TYPE
2199023256077|481036337193|1315875830756|LIKES
24189255811254|755914244149|1333632905915|LIKES
24189255811254|755914244152|1333700482711|LIKES
2199023256077|481036337268|1301760852039|LIKES
24189255811254|481036337268|1327126501541|LIKES
24189255811254|481036337280|1327283671238|LIKES
10995116278291|343597383821|1322643691847|LIKES
10995116278291|343597383824|1323083464087|LIKES
10995116278291|137438953630|1307372140885|LIKES
2199023256077|206158430383|1293577361026|LIKES
2199023256077|206158430395|1293872613708|LIKES
10995116278291|206158430395|1302554106789|LIKES
24189255811254|206158430395|1338585285055|LIKES
10995116278291|481036337347|1312331996535|LIKES
24189255811254|481036337347|1336503223282|LIKES
2199023256077|687194767581|1333047846332|LIKES
10995116278291|687194767581|1326081928164|LIKES
2199023256077|687194767598|1325198535170|LIKES
10995116278291|687194767598|1327103813558|LIKES
24189255811254|687194767598|1333028209293|LIKES
10995116278291|687194767599|1327048203012|LIKES
2199023256077|687194767607|1325415458079|LIKES
10995116278291|687194767607|1326803470539|LIKES
24189255811254|687194767607|1332920926488|LIKES
2199023256077|687194767608|1325121352822|LIKES
10995116278291|687194767608|1327248089035|LIKES
24189255811254|687194767608|1333098473065|LIKES
10995116278291|206158430487|1320210190031|LIKES
2199023256077|206158430488|1326682745529|LIKES
10995116278291|206158430488|1319937758217|LIKES
24189255811254|206158430488|1341086103136|LIKES
2199023256077|755914244428|1327070196948|LIKES
10995116278291|755914244428|1339756562096|LIKES
24189255811254|755914244428|1340635800709|LIKES
24189255811254|343597384018|1345816859709|LIKES
24189255811254|343597384024|1345633811440|LIKES
10995116278291|824633721185|1347444232455|LIKES
24189255811254|824633721185|1331539742252|LIKES
24189255811254|962072674668|1346562912871|LIKES
24189255811254|962072674677|1346798510019|LIKES
24189255811254|962072674680|1346565090958|LIKES
2199023257206|274877907457|1288856010306|LIKES
4398046512201|274877907457|1288921248889|LIKES
6597069768211|274877907457|1288830513031|LIKES
8796093022467|274877907457|1288944923000|LIKES
19791209300326|274877907457|1312840904144|LIKES
19791209300608|274877907457|1313057762623|LIKES
19791209300787|274877907457|1316929388914|LIKES
19791209301454|274877907457|1312158405503|LIKES
24189255812580|274877907457|1322622502248|LIKES
26388279066664|274877907457|1328862615900|LIKES
26388279067534|274877907457|1326701288180|LIKES
32985348833653|274877907457|1345174692383|LIKES
