:START_ID(PERSON_ID)|:END_ID(COMMENT_ID)|creationDate:long|:TYPE
2199023256077|1030792151057|1342815861582|LIKES
2199023256077|1030792151060|1342859824052|LIKES
10995116278291|1030792151060|1343166372715|LIKES
24189255811254|1030792151060|1343068746139|LIKES
2199023256437|206158430631|1283454170362|LIKES
8796093022467|481036337631|1302841869508|LIKES
4398046512201|618475291131|1311233082251|LIKES
19791209300608|549755814421|1313000347150|LIKES
19791209300787|549755814421|1316902747343|LIKES
19791209301454|549755814421|1311935679270|LIKES
24189255812580|549755814421|1322387015994|LIKES
26388279066664|549755814421|1328731510836|LIKES
26388279067534|549755814421|1326866523324|LIKES
26388279067066|962072675848|1340591755499|LIKES
10995116279452|1030792152613|1344191962017|LIKES
13194139534853|1030792152613|1344178118036|LIKES
15393162789417|1030792152613|1344339539221|LIKES
17592186044425|1030792152613|1344577622825|LIKES
17592186044519|1030792152613|1344257288394|LIKES
17592186045165|1030792152613|1344267798855|LIKES
17592186045408|1030792152613|1344168609779|LIKES
17592186045551|1030792152613|1344213015273|LIKES
17592186045604|1030792152613|1344163727185|LIKES
21990232556252|1030792152613|1344251547150|LIKES
24189255812446|1030792152613|1344436445066|LIKES
24189255812669|1030792152613|1344181630019|LIKES
13194139533344|1030792152634|1344293413649|LIKES
15393162789093|1030792152634|1344190838985|LIKES
15393162789174|1030792152634|1344153535676|LIKES
15393162790014|1030792152634|1344628405899|LIKES
17592186044897|1030792152634|1344521342182|LIKES
17592186045382|1030792152634|1344254237912|LIKES
17592186046110|1030792152634|1344388934351|LIKES
21990232556410|1030792152634|1344321743746|LIKES
24189255812426|1030792152634|1344647884077|LIKES
21990232556410|1030792152642|1344448628727|LIKES
609|1030792152653|1344315904961|LIKES
998|1030792152653|1344201391071|LIKES
1269|1030792152653|1344363819701|LIKES
2199023256744|1030792152653|1344137455332|LIKES
13194139533344|1030792152653|1344369233637|LIKES
15393162789093|1030792152653|1344188356902|LIKES
15393162789174|1030792152653|1344235335614|LIKES
15393162790014|1030792152653|1344309391594|LIKES
17592186044897|1030792152653|1344176824467|LIKES
17592186045382|1030792152653|1344193677757|LIKES
17592186046110|1030792152653|1344188322596|LIKES
21990232556410|1030792152653|1344160999560|LIKES
24189255812426|1030792152653|1344131919692|LIKES
24189255812580|1030792152653|1344276106972|LIKES
24189255812733|1030792152653|1344309494825|LIKES
32985348834375|1030792152653|1344204603109|LIKES
15393162790014|1030792152660|1344216980562|LIKES
998|1030792152662|1344209089413|LIKES
609|1030792152676|1344567209561|LIKES
998|1030792152676|1344413759195|LIKES
1269|1030792152676|1344345546937|LIKES
2199023256744|1030792152676|1344168159872|LIKES
13194139533344|1030792152676|1344384961888|LIKES
15393162789093|1030792152676|1344253813736|LIKES
15393162789174|1030792152676|1344181645267|LIKES
15393162790014|1030792152676|1344411809506|LIKES
17592186044897|1030792152676|1344647286465|LIKES
17592186045382|1030792152676|1344262669002|LIKES
17592186046110|1030792152676|1344667667932|LIKES
21990232556410|1030792152676|1344478454988|LIKES
24189255812426|1030792152676|1344435652598|LIKES
24189255812580|1030792152676|1344489866564|LIKES
24189255812733|1030792152676|1344265987345|LIKES
32985348834375|1030792152676|1344216877350|LIKES
976|412316862204|1298468109798|LIKES
1269|412316862204|1298875473410|LIKES
6597069767242|412316862204|1298557975263|LIKES
10995116278234|412316862204|1298830499395|LIKES
10995116278353|412316862204|1298389744071|LIKES
13194139533535|412316862204|1298544287394|LIKES
13194139533653|412316862204|1298683161476|LIKES
15393162789604|412316862204|1304210752193|LIKES
17592186044551|412316862204|1308516936963|LIKES
17592186045074|412316862204|1308415074373|LIKES
17592186045865|412316862204|1307347989119|LIKES
19791209300771|412316862204|1313757901373|LIKES
21990232555611|412316862204|1321182968805|LIKES
21990232556528|412316862204|1319176234546|LIKES
21990232556650|412316862204|1321230631048|LIKES
30786325578932|412316862204|1340156031015|LIKES
30786325579247|412316862204|1339446856409|LIKES
32985348833378|412316862204|1346837187558|LIKES
32985348833438|412316862204|1343412084205|LIKES
976|618475292469|1311845926161|LIKES
1269|618475292469|1312014735122|LIKES
6597069767242|618475292469|1312156047650|LIKES
10995116278234|618475292469|1312130826066|LIKES
10995116278353|618475292469|1311998358497|LIKES
13194139533535|618475292469|1311897602140|LIKES
13194139533653|618475292469|1311786736535|LIKES
15393162789604|618475292469|1311973162883|LIKES
17592186044551|618475292469|1311925334910|LIKES
17592186045074|618475292469|1311994607093|LIKES
17592186045865|618475292469|1311772470851|LIKES
19791209300771|618475292469|1314095677816|LIKES
21990232555611|618475292469|1321211747334|LIKES
21990232556528|618475292469|1318980425856|LIKES
21990232556650|618475292469|1321275829984|LIKES
30786325578932|618475292469|1340389522907|LIKES
30786325579247|618475292469|1339291728945|LIKES
32985348833378|618475292469|1346967967213|LIKES
32985348833438|618475292469|1343462997072|LIKES
976|549755815755|1308536396189|LIKES
1269|549755815755|1308559140631|LIKES
6597069767242|549755815755|1308950545971|LIKES
10995116278234|549755815755|1308751388270|LIKES
10995116278353|549755815755|1308593484127|LIKES
13194139533535|549755815755|1308573929463|LIKES
13194139533653|549755815755|1308693748399|LIKES
15393162789604|549755815755|1308551704337|LIKES
17592186044551|549755815755|1308581563288|LIKES
17592186045074|549755815755|1308630192980|LIKES
17592186045865|549755815755|1308606765330|LIKES
19791209300771|549755815755|1314094943951|LIKES
21990232555611|549755815755|1321349118496|LIKES
21990232556528|549755815755|1318995840575|LIKES
21990232556650|549755815755|1321481606677|LIKES
30786325578932|549755815755|1339985863550|LIKES
30786325579247|549755815755|1339570947784|LIKES
32985348833378|549755815755|1346877978034|LIKES
32985348833438|549755815755|1343583113097|LIKES
32985348833378|618475292522|1346808385787|LIKES
976|274877908929|1286407042054|LIKES
1269|274877908929|1286286657482|LIKES
6597069767242|274877908929|1286522673354|LIKES
10995116278234|274877908929|1291776064244|LIKES
10995116278353|274877908929|1292869453539|LIKES
13194139533535|274877908929|1296908118972|LIKES
13194139533653|274877908929|1297143417632|LIKES
15393162789604|274877908929|1304035772980|LIKES
17592186044551|274877908929|1308322058901|LIKES
17592186045074|274877908929|1308517327449|LIKES
17592186045865|274877908929|1307343601373|LIKES
19791209300771|274877908929|1313963917176|LIKES
21990232555611|274877908929|1321188611504|LIKES
21990232556528|274877908929|1318999786603|LIKES
21990232556650|274877908929|1321219026013|LIKES
30786325578932|274877908929|1340219279026|LIKES
30786325579247|274877908929|1339517884967|LIKES
32985348833378|274877908929|1346765380861|LIKES
32985348833438|274877908929|1343443787081|LIKES
13194139533653|68719478733|1297032606897|LIKES
976|68719478756|1273361572870|LIKES
2199023256668|343597385772|1290147060734|LIKES
6597069768211|343597385772|1289845400831|LIKES
8796093023017|343597385772|1289710208800|LIKES
8796093023851|343597385772|1290142583025|LIKES
15393162789093|343597385772|1305052844405|LIKES
21990232555524|343597385772|1318556386915|LIKES
30786325578056|343597385772|1341182273516|LIKES
32985348833548|343597385772|1346007752274|LIKES
32985348833995|343597385772|1346176500533|LIKES
8796093023851|481036339257|1301091801166|LIKES
32985348833995|755914246215|1346453470564|LIKES
1131|481036339359|1301716938764|LIKES
4398046512267|481036339360|1301677193919|LIKES
6597069766846|481036339360|1301418932148|LIKES
6597069766850|481036339360|1301820089943|LIKES
6597069767067|481036339360|1301490787315|LIKES
6597069767242|481036339360|1301430297443|LIKES
6597069767572|481036339360|1301758068610|LIKES
8796093023133|481036339360|1301425037779|LIKES
8796093023897|481036339360|1301545618774|LIKES
