:START_ID(POST_ID)|:END_ID(TAG_ID)|:TYPE
618475290624|59|HAS_TAG
618475290624|779|HAS_TAG
618475290624|3047|HAS_TAG
618475290624|5159|HAS_TAG
3|59|HAS_TAG
3|565|HAS_TAG
3|1767|HAS_TAG
3|1936|HAS_TAG
3|1989|HAS_TAG
3|2855|HAS_TAG
1030792151044|59|HAS_TAG
1030792151044|779|HAS_TAG
1030792151044|2054|HAS_TAG
1030792151044|2792|HAS_TAG
1030792151044|5875|HAS_TAG
1030792151044|9163|HAS_TAG
412316860440|1930|HAS_TAG
412316860440|7196|HAS_TAG
412316860440|10890|HAS_TAG
206158430586|448|HAS_TAG
206158430586|1481|HAS_TAG
206158430586|2924|HAS_TAG
206158430586|6931|HAS_TAG
206158430586|13398|HAS_TAG
206158430594|561|HAS_TAG
206158430594|2102|HAS_TAG
206158430594|2118|HAS_TAG
206158430594|2934|HAS_TAG
206158430594|10446|HAS_TAG
206158430610|561|HAS_TAG
206158430610|590|HAS_TAG
206158430610|1029|HAS_TAG
206158430610|2863|HAS_TAG
206158430610|5156|HAS_TAG
206158430610|9183|HAS_TAG
206158430610|9186|HAS_TAG
206158430610|9201|HAS_TAG
206158430610|12266|HAS_TAG
206158430625|561|HAS_TAG
206158430625|1024|HAS_TAG
206158430625|9148|HAS_TAG
206158430625|9273|HAS_TAG
206158430625|11713|HAS_TAG
687194767786|1670|HAS_TAG
687194767786|1944|HAS_TAG
687194767786|4975|HAS_TAG
687194767786|5167|HAS_TAG
687194767786|7555|HAS_TAG
687194767786|9034|HAS_TAG
343597384119|1749|HAS_TAG
206158430650|1749|HAS_TAG
824633721291|1749|HAS_TAG
481036337629|1749|HAS_TAG
549755814369|1749|HAS_TAG
618475291117|1749|HAS_TAG
274877907457|1749|HAS_TAG
481036337666|1749|HAS_TAG
1099511628293|1749|HAS_TAG
549755814413|1749|HAS_TAG
824633721378|321|HAS_TAG
824633721378|9170|HAS_TAG
206158430763|321|HAS_TAG
206158430764|321|HAS_TAG
618475291181|321|HAS_TAG
618475291181|2031|HAS_TAG
206158430773|540|HAS_TAG
206158430773|2965|HAS_TAG
206158430773|7567|HAS_TAG
206158430773|11377|HAS_TAG
206158430773|11623|HAS_TAG
206158430773|11673|HAS_TAG
206158430773|12254|HAS_TAG
206158430774|540|HAS_TAG
206158430774|2030|HAS_TAG
206158430774|7567|HAS_TAG
206158430774|9295|HAS_TAG
206158430774|10149|HAS_TAG
206158430774|11250|HAS_TAG
206158430774|12304|HAS_TAG
412316860983|586|HAS_TAG
412316860983|781|HAS_TAG
412316860983|1453|HAS_TAG
412316860983|1454|HAS_TAG
412316860983|7569|HAS_TAG
412316860983|7584|HAS_TAG
412316860983|13829|HAS_TAG
206158430787|294|HAS_TAG
206158430787|540|HAS_TAG
206158430787|1178|HAS_TAG
206158430787|6298|HAS_TAG
206158430787|7336|HAS_TAG
206158430787|7553|HAS_TAG
206158430787|9074|HAS_TAG
206158430787|9930|HAS_TAG
206158430787|11775|HAS_TAG
206158430787|12432|HAS_TAG
206158430787|14758|HAS_TAG
962072675674|1748|HAS_TAG
962072675674|5062|HAS_TAG
962072675801|138|HAS_TAG
962072675801|566|HAS_TAG
962072675801|1668|HAS_TAG
962072675801|10961|HAS_TAG
962072675801|12392|HAS_TAG
755914245594|138|HAS_TAG
755914245594|2031|HAS_TAG
755914245594|2959|HAS_TAG
755914245594|6363|HAS_TAG
755914245594|12392|HAS_TAG
893353199067|138|HAS_TAG
893353199067|6365|HAS_TAG
893353199067|8897|HAS_TAG
962072675809|138|HAS_TAG
962072675809|1022|HAS_TAG
962072675809|1758|HAS_TAG
962072675809|2802|HAS_TAG
962072675809|6363|HAS_TAG
962072675809|7380|HAS_TAG
962072675809|8897|HAS_TAG
962072675809|10038|HAS_TAG
962072675823|395|HAS_TAG
962072675823|6962|HAS_TAG
962072675823|9256|HAS_TAG
824633722366|127|HAS_TAG
824633722366|283|HAS_TAG
824633722366|780|HAS_TAG
824633722366|1174|HAS_TAG
824633722366|3101|HAS_TAG
824633722366|9100|HAS_TAG
962072675847|395|HAS_TAG
962072675847|6183|HAS_TAG
962072675847|8277|HAS_TAG
962072675847|11635|HAS_TAG
962072675847|15530|HAS_TAG
962072675863|395|HAS_TAG
962072675863|6954|HAS_TAG
962072675863|9039|HAS_TAG
1030792152608|1167|HAS_TAG
1030792152608|2808|HAS_TAG
1030792152608|5067|HAS_TAG
1030792152608|6951|HAS_TAG
1030792152608|9147|HAS_TAG
1030792152608|10651|HAS_TAG
1030792152608|11541|HAS_TAG
824633722409|127|HAS_TAG
824633722409|8600|HAS_TAG
824633722409|12030|HAS_TAG
1030792152618|810|HAS_TAG
1030792152618|1153|HAS_TAG
1030792152618|1167|HAS_TAG
1030792152618|9318|HAS_TAG
1030792152632|1167|HAS_TAG
1030792152632|7396|HAS_TAG
1030792152632|9261|HAS_TAG
1030792152649|575|HAS_TAG
1030792152649|1167|HAS_TAG
1030792152658|1167|HAS_TAG
1030792152658|1767|HAS_TAG
1030792152658|2925|HAS_TAG
1030792152658|3070|HAS_TAG
1030792152658|6543|HAS_TAG
1030792152658|6558|HAS_TAG
1030792152658|6965|HAS_TAG
1030792152658|6996|HAS_TAG
1030792152658|10669|HAS_TAG
1030792152665|1167|HAS_TAG
1030792152665|8795|HAS_TAG
1030792152665|9152|HAS_TAG
1030792152668|810|HAS_TAG
1030792152668|1167|HAS_TAG
1030792152668|7952|HAS_TAG
1030792152668|11382|HAS_TAG
1030792152668|13014|HAS_TAG
1030792152682|1167|HAS_TAG
1030792152682|2866|HAS_TAG
1030792152682|6942|HAS_TAG
893353199328|3095|HAS_TAG
893353199328|4863|HAS_TAG
893353199328|5674|HAS_TAG
893353199328|9262|HAS_TAG
893353199328|11378|HAS_TAG
893353199328|12048|HAS_TAG
893353199328|12345|HAS_TAG
893353199328|13425|HAS_TAG
893353199328|14681|HAS_TAG
1030792152803|140|HAS_TAG
412316862200|1|HAS_TAG
412316862200|1988|HAS_TAG
412316862200|1990|HAS_TAG
412316862200|2804|HAS_TAG
412316862200|7547|HAS_TAG
412316862216|1|HAS_TAG
412316862216|2778|HAS_TAG
412316862216|6369|HAS_TAG
1030792152861|1|HAS_TAG
1030792152861|2788|HAS_TAG
1030792152861|2842|HAS_TAG
618475292461|1|HAS_TAG
618475292461|1989|HAS_TAG
618475292461|2788|HAS_TAG
618475292461|2853|HAS_TAG
618475292461|9188|HAS_TAG
618475292461|9261|HAS_TAG
549755815750|1|HAS_TAG
549755815750|1667|HAS_TAG
549755815750|2788|HAS_TAG
549755815750|6383|HAS_TAG
412316862297|1|HAS_TAG
412316862297|2778|HAS_TAG
412316862297|2842|HAS_TAG
