id:ID(TAG_ID)|name:string|url:string|:LABEL
0|"Hamid_Karzai"|"http://dbpedia.org/resource/Hamid_Karzai"|Tag
1|"Rumi"|"http://dbpedia.org/resource/Rumi"|Tag
2|"Mahmud_of_Ghazni"|"http://dbpedia.org/resource/Mahmud_of_Ghazni"|Tag
3|"Abbas_I_of_Persia"|"http://dbpedia.org/resource/Abbas_I_of_Persia"|Tag
4|"Humayun"|"http://dbpedia.org/resource/Humayun"|Tag
5|"Mohammed_Zahir_Shah"|"http://dbpedia.org/resource/Mohammed_Zahir_Shah"|Tag
6|"Augustine_of_Hippo"|"http://dbpedia.org/resource/Augustine_of_Hippo"|Tag
7|"Albert_Camus"|"http://dbpedia.org/resource/Albert_Camus"|Tag
8|"Jorge_Luis_Borges"|"http://dbpedia.org/resource/Jorge_Luis_Borges"|Tag
9|"Che_Guevara"|"http://dbpedia.org/resource/Che_Guevara"|Tag
10|"Juan_Perón"|"http://dbpedia.org/resource/Juan_Perón"|Tag
11|"Diego_Maradona"|"http://dbpedia.org/resource/Diego_Maradona"|Tag
12|"Juan_Ignacio_Chela"|"http://dbpedia.org/resource/Juan_Ignacio_Chela"|Tag
13|"David_Nalbandian"|"http://dbpedia.org/resource/David_Nalbandian"|Tag
14|"Gisela_Dulko"|"http://dbpedia.org/resource/Gisela_Dulko"|Tag
15|"José_de_San_Martín"|"http://dbpedia.org/resource/José_de_San_Martín"|Tag
16|"Paola_Suárez"|"http://dbpedia.org/resource/Paola_Suárez"|Tag
17|"Gastón_Gaudio"|"http://dbpedia.org/resource/Gastón_Gaudio"|Tag
18|"Guillermo_Cañas"|"http://dbpedia.org/resource/Guillermo_Cañas"|Tag
19|"José_Acasuso"|"http://dbpedia.org/resource/José_Acasuso"|Tag
20|"Agustín_Calleri"|"http://dbpedia.org/resource/Agustín_Calleri"|Tag
21|"Juan_Mónaco"|"http://dbpedia.org/resource/Juan_Mónaco"|Tag
22|"Carlos_Menem"|"http://dbpedia.org/resource/Carlos_Menem"|Tag
23|"Lionel_Messi"|"http://dbpedia.org/resource/Lionel_Messi"|Tag
