:START_ID(PERSON_ID)|:END_ID(TAG_ID)|:TYPE
933|59|HAS_INTEREST
933|291|HAS_INTEREST
933|565|HAS_INTEREST
933|569|HAS_INTEREST
933|779|HAS_INTEREST
933|780|HAS_INTEREST
933|1178|HAS_INTEREST
933|1203|HAS_INTEREST
933|1444|HAS_INTEREST
933|1614|HAS_INTEREST
933|1764|HAS_INTEREST
933|1767|HAS_INTEREST
933|1936|HAS_INTEREST
933|1985|HAS_INTEREST
933|1989|HAS_INTEREST
933|2011|HAS_INTEREST
933|2016|HAS_INTEREST
933|2035|HAS_INTEREST
933|2036|HAS_INTEREST
933|2054|HAS_INTEREST
933|2057|HAS_INTEREST
933|2075|HAS_INTEREST
933|2097|HAS_INTEREST
933|2104|HAS_INTEREST
933|2120|HAS_INTEREST
933|2777|HAS_INTEREST
933|2778|HAS_INTEREST
933|2780|HAS_INTEREST
933|2783|HAS_INTEREST
933|2792|HAS_INTEREST
933|2801|HAS_INTEREST
933|2803|HAS_INTEREST
933|2811|HAS_INTEREST
933|2812|HAS_INTEREST
933|2828|HAS_INTEREST
933|2831|HAS_INTEREST
933|2847|HAS_INTEREST
933|2855|HAS_INTEREST
933|2932|HAS_INTEREST
933|2933|HAS_INTEREST
933|2941|HAS_INTEREST
933|2973|HAS_INTEREST
933|2975|HAS_INTEREST
933|3045|HAS_INTEREST
933|3047|HAS_INTEREST
933|3081|HAS_INTEREST
933|5142|HAS_INTEREST
933|5159|HAS_INTEREST
933|5163|HAS_INTEREST
933|5170|HAS_INTEREST
933|5467|HAS_INTEREST
933|5682|HAS_INTEREST
933|5875|HAS_INTEREST
933|6040|HAS_INTEREST
933|6144|HAS_INTEREST
933|6368|HAS_INTEREST
933|6532|HAS_INTEREST
933|6934|HAS_INTEREST
933|6962|HAS_INTEREST
933|7032|HAS_INTEREST
933|7335|HAS_INTEREST
933|7509|HAS_INTEREST
933|7545|HAS_INTEREST
933|7876|HAS_INTEREST
933|8942|HAS_INTEREST
933|9144|HAS_INTEREST
933|9146|HAS_INTEREST
933|9163|HAS_INTEREST
933|13818|HAS_INTEREST
933|13828|HAS_INTEREST
1129|61|HAS_INTEREST
1129|62|HAS_INTEREST
1129|141|HAS_INTEREST
1129|205|HAS_INTEREST
1129|206|HAS_INTEREST
1129|417|HAS_INTEREST
1129|565|HAS_INTEREST
1129|580|HAS_INTEREST
1129|780|HAS_INTEREST
1129|783|HAS_INTEREST
1129|790|HAS_INTEREST
1129|801|HAS_INTEREST
1129|1154|HAS_INTEREST
1129|1172|HAS_INTEREST
1129|1188|HAS_INTEREST
1129|1375|HAS_INTEREST
1129|1504|HAS_INTEREST
1129|1535|HAS_INTEREST
1129|1749|HAS_INTEREST
1129|1985|HAS_INTEREST
1129|1990|HAS_INTEREST
1129|1995|HAS_INTEREST
1129|2011|HAS_INTEREST
1129|2032|HAS_INTEREST
1129|2095|HAS_INTEREST
1129|2120|HAS_INTEREST
1129|2787|HAS_INTEREST
1129|2802|HAS_INTEREST
1129|2811|HAS_INTEREST
1129|2820|HAS_INTEREST
1129|2821|HAS_INTEREST
1129|2835|HAS_INTEREST
1129|2844|HAS_INTEREST
1129|2847|HAS_INTEREST
1129|2850|HAS_INTEREST
1129|2851|HAS_INTEREST
1129|2854|HAS_INTEREST
1129|2863|HAS_INTEREST
1129|2871|HAS_INTEREST
1129|2885|HAS_INTEREST
1129|2888|HAS_INTEREST
1129|2908|HAS_INTEREST
1129|2912|HAS_INTEREST
1129|2928|HAS_INTEREST
1129|2958|HAS_INTEREST
1129|3005|HAS_INTEREST
1129|3011|HAS_INTEREST
1129|3059|HAS_INTEREST
1129|5116|HAS_INTEREST
1129|5133|HAS_INTEREST
1129|5191|HAS_INTEREST
1129|5978|HAS_INTEREST
1129|6363|HAS_INTEREST
1129|6383|HAS_INTEREST
1129|6456|HAS_INTEREST
1129|6801|HAS_INTEREST
1129|7936|HAS_INTEREST
1129|9058|HAS_INTEREST
1129|9076|HAS_INTEREST
1129|9161|HAS_INTEREST
1129|9277|HAS_INTEREST
1129|11258|HAS_INTEREST
2199023256684|566|HAS_INTEREST
2199023256684|568|HAS_INTEREST
2199023256684|779|HAS_INTEREST
2199023256684|977|HAS_INTEREST
2199023256684|1499|HAS_INTEREST
2199023256684|1644|HAS_INTEREST
2199023256684|1991|HAS_INTEREST
2199023256684|2002|HAS_INTEREST
2199023256684|2017|HAS_INTEREST
2199023256684|2020|HAS_INTEREST
2199023256684|2067|HAS_INTEREST
2199023256684|2777|HAS_INTEREST
2199023256684|2780|HAS_INTEREST
2199023256684|2785|HAS_INTEREST
2199023256684|2793|HAS_INTEREST
2199023256684|2798|HAS_INTEREST
2199023256684|2845|HAS_INTEREST
2199023256684|2888|HAS_INTEREST
2199023256684|2909|HAS_INTEREST
2199023256684|2976|HAS_INTEREST
2199023256684|3000|HAS_INTEREST
2199023256684|3045|HAS_INTEREST
2199023256684|3047|HAS_INTEREST
2199023256684|3055|HAS_INTEREST
2199023256684|3073|HAS_INTEREST
2199023256684|6383|HAS_INTEREST
2199023256684|6756|HAS_INTEREST
2199023256684|9097|HAS_INTEREST
2199023256684|10710|HAS_INTEREST
4398046512167|1749|HAS_INTEREST
6597069767117|321|HAS_INTEREST
6597069767117|1545|HAS_INTEREST
6597069767117|1999|HAS_INTEREST
6597069767117|2031|HAS_INTEREST
6597069767117|2888|HAS_INTEREST
6597069767117|2940|HAS_INTEREST
6597069767117|5196|HAS_INTEREST
6597069767117|7524|HAS_INTEREST
6597069767117|9170|HAS_INTEREST
6597069767117|10190|HAS_INTEREST
10995116278700|138|HAS_INTEREST
10995116278700|523|HAS_INTEREST
10995116278700|581|HAS_INTEREST
10995116278700|784|HAS_INTEREST
10995116278700|1186|HAS_INTEREST
10995116278700|1424|HAS_INTEREST
10995116278700|1760|HAS_INTEREST
10995116278700|1985|HAS_INTEREST
10995116278700|1995|HAS_INTEREST
10995116278700|1997|HAS_INTEREST
10995116278700|2001|HAS_INTEREST
10995116278700|2008|HAS_INTEREST
10995116278700|2039|HAS_INTEREST
10995116278700|2106|HAS_INTEREST
10995116278700|2109|HAS_INTEREST
10995116278700|2777|HAS_INTEREST
10995116278700|2779|HAS_INTEREST
10995116278700|2785|HAS_INTEREST
10995116278700|2818|HAS_INTEREST
10995116278700|2831|HAS_INTEREST
10995116278700|2856|HAS_INTEREST
10995116278700|2859|HAS_INTEREST
10995116278700|2862|HAS_INTEREST
10995116278700|2876|HAS_INTEREST
10995116278700|2907|HAS_INTEREST
10995116278700|2958|HAS_INTEREST
10995116278700|2960|HAS_INTEREST
10995116278700|2984|HAS_INTEREST
10995116278700|3021|HAS_INTEREST
10995116278700|3028|HAS_INTEREST
10995116278700|3040|HAS_INTEREST
10995116278700|3072|HAS_INTEREST
10995116278700|3096|HAS_INTEREST
10995116278700|4849|HAS_INTEREST
10995116278700|5070|HAS_INTEREST
10995116278700|5078|HAS_INTEREST
10995116278700|5129|HAS_INTEREST
10995116278700|5146|HAS_INTEREST
10995116278700|6399|HAS_INTEREST
10995116278700|6400|HAS_INTEREST
10995116278700|6890|HAS_INTEREST
10995116278700|6962|HAS_INTEREST
10995116278700|6964|HAS_INTEREST
10995116278700|7330|HAS_INTEREST
10995116278700|7598|HAS_INTEREST
10995116278700|8784|HAS_INTEREST
10995116278700|9163|HAS_INTEREST
10995116278700|10492|HAS_INTEREST
10995116278700|10681|HAS_INTEREST
10995116278700|11250|HAS_INTEREST
10995116278700|11628|HAS_INTEREST
10995116278700|11852|HAS_INTEREST
17592186045684|6|HAS_INTEREST
17592186045684|138|HAS_INTEREST
17592186045684|588|HAS_INTEREST
17592186045684|778|HAS_INTEREST
17592186045684|781|HAS_INTEREST
17592186045684|797|HAS_INTEREST
17592186045684|808|HAS_INTEREST
17592186045684|973|HAS_INTEREST
17592186045684|1024|HAS_INTEREST
17592186045684|1026|HAS_INTEREST
17592186045684|1172|HAS_INTEREST
17592186045684|1173|HAS_INTEREST
17592186045684|1180|HAS_INTEREST
17592186045684|1184|HAS_INTEREST
17592186045684|1185|HAS_INTEREST
17592186045684|1201|HAS_INTEREST
17592186045684|1759|HAS_INTEREST
17592186045684|1762|HAS_INTEREST
17592186045684|1995|HAS_INTEREST
17592186045684|2001|HAS_INTEREST
17592186045684|2003|HAS_INTEREST
17592186045684|2017|HAS_INTEREST
17592186045684|2034|HAS_INTEREST
17592186045684|2048|HAS_INTEREST
17592186045684|2059|HAS_INTEREST
17592186045684|2076|HAS_INTEREST
17592186045684|2078|HAS_INTEREST
